Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
2038,243154,102179,94742,1.33,34378,57361,40003,0,0,0,
2038,243154,102299,94728,1.498,34378,57361,40003,0,0,0,
2057,243154,102231,94772,1.521,34367,57422,39997,0,0,0,
2057,243154,102247,94704,1.387,34367,57422,39997,0,0,0,
2057,243154,102213,94713,1.317,34367,57422,39997,0,0,0,
2069,243154,102290,94717,1.516,34473,57461,39875,0,0,0,
2069,243154,102198,94757,1.527,34473,57461,39875,0,0,0,
2069,243154,102254,94716,1.361,34473,57461,39875,0,0,0,
2091,243154,102292,94754,1.329,34401,57569,40030,0,0,0,
2091,243154,102233,94720,1.507,34401,57569,40030,0,0,0,
2091,243154,102262,94716,1.518,34401,57569,40030,0,0,0,
2091,243154,102304,94761,1.383,34401,57569,40030,0,0,0,
2104,243154,102293,94734,1.323,34361,57495,39973,0,0,0,
2104,243154,102192,94743,1.512,34361,57495,39973,0,0,0,
2104,243154,102228,94734,1.519,34361,57495,39973,0,0,0,
2124,243154,102227,94729,1.375,34312,57475,40057,0,0,0,
2124,243154,102195,94758,1.335,34312,57475,40057,0,0,0,
2124,243154,102245,94752,1.507,34312,57475,40057,0,0,0,
2124,243154,102206,94728,1.534,34312,57475,40057,0,0,0,
2135,243154,102262,94744,1.378,34369,57446,40006,0,0,0,
2135,243154,102253,94735,1.319,34369,57446,40006,0,0,0,
2154,243154,102234,94747,1.513,34407,57363,39990,0,0,0,
2154,243154,102271,94743,1.524,34407,57363,39990,0,0,0,
2155,243154,102232,94738,1.367,34407,57363,39990,0,0,0,
2155,243154,102224,94749,1.336,34407,57363,39990,0,0,0,
2167,243154,102278,94772,1.513,34450,57365,39956,0,0,0,
2167,243154,102245,94756,1.528,34450,57365,39956,0,0,0,
2167,243154,102224,94730,1.365,34450,57365,39956,0,0,0,
2185,243154,102176,94732,1.332,34380,57369,39916,0,0,0,
2185,243154,102207,94737,1.517,34380,57369,39916,0,0,0,
2185,243154,102203,94742,1.509,34380,57369,39916,0,0,0,
2198,243154,102223,94769,1.371,34372,57357,39943,0,0,0,
2198,243154,102226,94773,1.328,34372,57357,39943,0,0,0,
2198,243154,102174,94709,1.496,34372,57357,39943,0,0,0,
2216,243154,102272,94742,1.534,34414,57396,39970,0,0,0,
2216,243154,102192,94757,1.369,34414,57396,39970,0,0,0,
2216,243154,102239,94745,1.327,34414,57396,39970,0,0,0,
2230,243154,102219,94748,1.526,34419,57487,39930,0,0,0,
2230,243154,102198,94725,1.517,34419,57487,39930,0,0,0,
2230,243154,102267,94730,1.371,34419,57487,39930,0,0,0,
2251,243154,102270,94753,1.339,34390,57460,40050,0,0,0,
2251,243154,102225,94759,1.514,34390,57460,40050,0,0,0,
2251,243154,102272,94760,1.523,34390,57460,40050,0,0,0,
2251,243154,102237,94744,1.366,34390,57460,40050,0,0,0,
2263,243154,102206,94755,1.337,34376,57484,39927,0,0,0,
2263,243154,102245,94738,1.519,34376,57484,39927,0,0,0,
2263,243154,102236,94727,1.503,34376,57484,39927,0,0,0,
2282,243154,102189,94763,1.375,34316,57494,39940,0,0,0,
2282,243154,102216,94811,1.33,34316,57494,39940,0,143,0,
2282,243154,102202,94758,1.507,34316,57494,39940,0,0,0,
2294,243154,102235,94765,1.529,34352,57488,40009,0,0,0,
2294,243154,102213,94765,1.364,34352,57488,40009,0,0,0,
2294,243154,102252,94760,1.332,34352,57488,40009,0,0,0,
2314,243154,102258,94753,1.516,34380,57398,39913,0,0,0,
2314,243154,102244,94760,1.512,34380,57398,39913,0,0,0,
2314,243154,102240,94769,1.364,34380,57398,39913,0,0,0,
2314,243154,102243,94802,1.331,34380,57398,39913,0,0,0,
2325,243154,102273,94756,1.515,34346,57472,39951,0,0,0,
2325,243154,102264,94731,1.518,34346,57472,39951,0,0,0,
2345,243154,102260,94775,1.36,34401,57362,39952,0,0,0,
2345,243154,102248,94726,1.352,34401,57362,39952,0,0,0,
2345,243154,102269,94753,1.515,34401,57362,39952,0,0,0,
2345,243154,102242,94769,1.511,34401,57362,39952,0,0,0,
2360,243154,102216,94755,1.371,34344,57373,39897,0,0,0,
2360,243154,102292,94765,1.319,34344,57373,39897,0,0,0,
2360,243154,102217,94758,1.516,34344,57373,39897,0,0,0,
2380,243154,102226,94794,1.528,34344,57378,40022,0,0,0,
2380,243154,102239,94742,1.359,34344,57378,40022,0,0,0,
2380,243154,102247,94751,1.332,34344,57378,40022,0,0,0,
2380,243154,102294,94803,1.529,34344,57378,40022,0,0,0,
2392,243154,102230,94742,1.522,34382,57380,39900,0,0,0,
2392,243154,102269,94761,1.365,34382,57380,39900,0,0,0,
2392,243154,102276,94741,1.323,34382,57380,39900,0,0,0,
2411,243154,102243,94763,1.526,34372,57384,39986,0,0,0,
2411,243154,102218,94776,1.51,34372,57384,39986,0,0,0,
2411,243154,102209,94736,1.352,34372,57384,39986,0,0,0,
2423,243154,102252,94782,1.347,34390,57384,39992,0,0,0,
2423,243154,102289,94780,1.517,34390,57384,39992,0,0,0,
2423,243154,102255,94762,1.503,34390,57384,39992,0,0,0,
2441,243154,102245,94748,1.365,34411,57440,39968,0,0,0,
2441,243154,102248,94761,1.33,34411,57440,39968,0,0,0,
2441,243154,102199,94742,1.52,34411,57440,39968,0,0,0,
2454,243154,102217,94715,1.519,34318,57443,39975,0,0,0,
2454,243154,102236,94733,1.357,34318,57443,39975,0,0,0,
2454,243154,102309,94735,1.335,34318,57443,39975,0,0,0,
2474,243154,102236,94748,1.522,34440,57436,40042,0,0,0,
2474,243154,102227,94738,1.519,34440,57436,40042,0,0,0,
2474,243154,102259,94760,1.356,34440,57436,40042,0,0,0,
2474,243154,102238,94769,1.342,34440,57436,40042,0,0,0,
2488,243154,102326,94780,1.538,34358,57405,40006,0,0,0,
2488,243154,102242,94766,1.504,34358,57405,40006,0,0,0,
2488,243154,102273,94719,1.354,34358,57405,40006,0,0,0,
2506,243154,102201,94744,1.348,34391,57434,39946,0,0,0,
2506,243154,102300,94758,1.518,34391,57434,39946,0,0,0,
2506,243154,102280,94763,1.512,34391,57434,39946,0,0,0,
2519,243154,102284,94748,1.36,34336,57440,39957,0,0,0,
2519,243154,102221,94776,1.339,34336,57440,39957,0,0,0,
2519,243154,102296,94758,1.529,34336,57440,39957,0,0,0,
2539,243154,102257,94758,1.503,34372,57411,39939,0,0,0,
2539,243154,102293,94764,1.361,34372,57411,39939,0,0,0,
2539,243154,102247,94765,1.336,34372,57411,39939,0,0,0,
2539,243154,102249,94781,1.528,34372,57411,39939,0,0,0,
2550,243154,102245,94748,1.519,34424,57428,40009,0,0,0,
2550,243154,102269,94753,1.347,34424,57428,40009,0,0,0,
2569,243154,102246,94804,1.335,34355,57383,39968,0,0,0,
2569,243154,102274,94783,1.539,34355,57383,39968,0,0,0,
2569,243154,102309,94773,1.501,34355,57383,39968,0,0,0,
2569,243154,102271,94753,1.368,34355,57383,39968,0,0,0,
2580,243154,102258,94744,1.34,34382,57438,40027,0,0,0,
2580,243154,102233,94769,1.523,34382,57438,40027,0,0,0,
2601,243154,102269,94782,1.509,34390,57446,40010,0,0,0,
2601,243154,102313,94755,1.359,34390,57446,40010,0,0,0,
2601,243154,102263,94761,1.341,34390,57446,40010,0,0,0,
2601,243154,102263,94765,1.532,34390,57446,40010,0,0,0,
2614,243154,102316,94777,1.507,34358,57385,39861,0,0,0,
2614,243154,102237,94755,1.361,34358,57385,39861,0,0,0,
2614,243154,102290,94757,1.336,34358,57385,39861,0,0,0,
2638,243154,102289,94757,1.528,34397,57437,40003,0,0,0,
2638,243154,102292,94758,1.513,34397,57437,40003,0,0,0,
2638,243154,102272,94764,1.348,34397,57437,40003,0,0,0,
2638,243154,102277,94754,1.361,34397,57437,40003,0,0,0,
2650,243154,102276,94788,1.534,34492,57397,39919,0,0,0,
2650,243154,102229,94764,1.505,34492,57397,39919,0,0,0,
2650,243154,102213,94756,1.358,34492,57397,39919,0,0,0,
2670,243154,102302,94785,1.343,34401,57408,40029,0,0,0,
2671,243154,102206,94753,1.538,34401,57408,40029,0,0,0,
2671,243154,102280,94786,1.498,34401,57408,40029,0,0,0,
2671,243154,102220,94734,1.344,34401,57408,40029,0,0,0,
2683,243154,102279,94743,1.354,34328,57434,39953,0,0,0,
2683,243154,102280,94789,1.529,34328,57434,39953,0,0,0,
2683,243154,102249,94787,1.499,34328,57434,39953,0,0,0,
2701,243154,102274,94757,1.368,34351,57442,39948,0,0,0,
2701,243154,102275,94814,1.341,34351,57442,39948,0,0,0,
2702,243154,102209,94772,1.536,34351,57442,39948,0,0,0,
2714,243154,102286,94800,1.51,34438,57415,39998,0,0,0,
2714,243154,102298,94758,1.343,34438,57415,39998,0,0,0,
2714,243154,102250,94749,1.348,34438,57415,39998,0,0,0,
2734,243154,102282,94744,1.538,34315,57437,39968,0,0,0,
2734,243154,102249,94776,1.511,34315,57437,39968,0,0,0,
2734,243154,102236,94759,1.35,34315,57437,39968,0,0,0,
2734,243154,102243,94795,1.345,34315,57437,39968,0,0,0,
2745,243154,102230,94781,1.548,34418,57432,39977,0,0,0,
2745,243154,102327,94778,1.498,34418,57432,39977,0,0,0,
2767,243154,102261,94771,1.339,34383,57417,39964,0,0,0,
2767,243154,102291,94776,1.363,34383,57417,39964,0,0,0,
2767,243154,102285,94770,1.524,34383,57417,39964,0,0,0,
2767,243154,102297,94784,1.501,34383,57417,39964,0,0,0,
2780,243154,102242,94785,1.347,34422,57417,39989,0,0,0,
2780,243154,102249,94810,1.34,34422,57417,39989,0,0,0,
2780,243154,102305,94760,1.538,34422,57417,39989,0,0,0,
2799,243154,102319,94773,1.501,34335,57433,40058,0,0,0,
2799,243154,102275,94764,1.354,34335,57433,40058,0,0,0,
2799,243154,102343,94804,1.357,34335,57433,40058,0,0,0,
2799,243154,102287,94771,1.538,34335,57433,40058,0,0,0,
2810,243154,102277,94767,1.509,34392,57384,40037,0,0,0,
2810,243154,102283,94784,1.341,34392,57384,40037,0,0,0,
2830,243154,102245,94778,1.343,34359,57398,39961,0,0,0,
2830,243154,102319,94801,1.558,34359,57398,39961,0,0,0,
2830,243154,102265,94764,1.493,34359,57398,39961,0,0,0,
2830,243154,102267,94751,1.347,34359,57398,39961,0,0,0,
2843,243154,102360,94774,1.36,34354,57425,40000,0,0,0,
2843,243154,102288,94765,1.533,34354,57425,40000,0,0,0,
2843,243154,102280,94764,1.507,34354,57425,40000,0,0,0,
2861,243154,102323,94802,1.347,34408,57394,39915,0,0,0,
2861,243154,102265,94793,1.348,34408,57394,39915,0,0,0,
2861,243154,102246,94779,1.54,34408,57394,39915,0,0,0,
