Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
22465,243154,191405,156906,1.461,36748,57892,40294,0,0,0,
22487,243154,191455,156902,1.442,37011,57912,40192,0,0,0,
22487,243154,191460,156894,1.381,37011,57912,40192,0,0,0,
22487,243154,191458,156876,1.421,37011,57912,40192,0,0,0,
22487,243154,191445,156889,1.506,37011,57912,40192,0,0,0,
22500,243154,191509,156884,1.438,36986,57940,40189,0,0,0,
22500,243154,191459,156869,1.374,36986,57940,40189,0,0,0,
22500,243154,191425,156918,1.434,36986,57940,40189,0,0,0,
22521,243154,191482,156895,1.497,36924,57882,40170,0,0,0,
22521,243154,191497,156897,1.448,36924,57882,40170,0,0,0,
22521,243154,191529,156920,1.379,36924,57882,40170,0,0,0,
22521,243154,191514,156877,1.431,36924,57882,40170,0,0,0,
22534,243154,191486,156899,1.497,36893,57955,40189,0,0,0,
22534,243154,191543,156909,1.433,36893,57955,40189,0,0,0,
22534,243154,191533,156899,1.384,36893,57955,40189,0,0,0,
22553,243154,191550,156917,1.445,37005,57930,40160,0,0,0,
22553,243154,191546,156906,1.479,37005,57930,40160,0,0,0,
22553,243154,191522,156930,1.431,37005,57930,40160,0,0,0,
22566,243154,191578,156940,1.377,36905,57994,40255,0,0,0,
22566,243154,191638,156913,1.429,36905,57994,40255,0,0,0,
22566,243154,191563,156924,1.486,36905,57994,40255,0,0,0,
22589,243154,191559,156921,1.419,36983,57936,40208,0,0,0,
22589,243154,191664,156911,1.384,36983,57936,40208,0,0,0,
22589,243154,191586,156931,1.431,36983,57936,40208,0,0,0,
22589,243154,191585,156908,1.496,36983,57936,40208,0,0,0,
22603,243154,191592,156920,1.45,36884,57935,40136,0,0,0,
22603,243154,191596,156943,1.37,36884,57935,40136,0,0,0,
22603,243154,191562,156936,1.423,36884,57935,40136,0,0,0,
22623,243154,191609,156929,1.5,36787,57890,40224,0,0,0,
22623,243154,191614,156945,1.439,36787,57890,40224,0,0,0,
22623,243154,191587,156930,1.386,36787,57890,40224,0,0,0,
22623,243154,191620,156947,1.439,36787,57890,40224,0,0,0,
22637,243154,191583,156971,1.495,36878,57932,40198,0,0,0,
22637,243154,191674,156937,1.442,36878,57932,40198,0,0,0,
22638,243154,191631,156940,1.37,36878,57932,40198,0,0,0,
22659,243154,191632,156929,1.442,36943,57970,40236,0,0,0,
22659,243154,191653,156950,1.5,36943,57970,40236,0,0,0,
22659,243154,191638,156921,1.431,36943,57970,40236,0,0,0,
22659,243154,191660,156944,1.402,36943,57970,40236,0,0,0,
22672,243154,191650,156955,1.437,36946,57953,40206,0,0,0,
22672,243154,191657,156976,1.491,36946,57953,40206,0,0,0,
22672,243154,191676,156939,1.435,36946,57953,40206,0,0,0,
22693,243154,191641,156982,1.376,36980,57896,40086,0,0,0,
22693,243154,191684,156957,1.445,36980,57896,40086,0,0,0,
22693,243154,191677,156968,1.478,36980,57896,40086,0,0,0,
22693,243154,191664,156976,1.438,36980,57896,40086,0,0,0,
22712,243154,191727,156974,1.389,36942,57917,40253,0,0,0,
22712,243154,191640,156960,1.429,36942,57917,40253,0,0,0,
22712,243154,191694,156978,1.487,36942,57917,40253,0,0,0,
22712,243154,191709,156957,1.43,36942,57917,40253,0,0,0,
