Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
3231,1265659,-4682824,-1473793,38.799,-292.0,62.0,-972.0,0,0,0,
3231,1265659,-4682789,-1473794,38.781,-292.0,62.0,-972.0,0,0,0,
3244,1265659,-4682810,-1473755,38.76,-292.0,69.0,-984.0,0,0,0,
3259,1265659,-4682830,-1473772,38.789,-292.0,69.0,-984.0,0,0,0,
3260,1265659,-4682786,-1473817,38.769,-292.0,69.0,-984.0,0,0,0,
3278,1265659,-4682806,-1473811,38.786,-296.0,67.0,-973.0,0,0,0,
3278,1265659,-4682835,-1473798,38.775,-296.0,67.0,-973.0,0,0,0,
3279,1265659,-4682742,-1473755,38.765,-296.0,67.0,-973.0,0,0,0,
3279,1265659,-4682755,-1473843,38.797,-296.0,67.0,-973.0,0,0,0,
3279,1265659,-4682703,-1473821,38.773,-296.0,67.0,-973.0,0,0,0,
3279,1265659,-4682795,-1473636,38.773,-296.0,67.0,-973.0,0,0,0,
3292,1265659,-4682775,-1473881,38.781,-297.0,74.0,-974.0,0,0,0,
3292,1265659,-4682793,-1473758,38.759,-297.0,74.0,-974.0,0,0,0,
3292,1265659,-4682799,-1473789,38.752,-297.0,74.0,-974.0,0,0,0,
3307,1265659,-4682819,-1473811,38.752,-299.0,69.0,-979.0,0,0,0,
3308,1265659,-4682714,-1473817,38.768,-299.0,69.0,-979.0,0,0,0,
3308,1265659,-4682683,-1473729,38.766,-299.0,69.0,-979.0,0,0,0,
3321,1265659,-4682799,-1473758,38.764,-295.0,72.0,-976.0,0,0,0,
3321,1265659,-4682681,-1473786,38.78,-295.0,72.0,-976.0,0,0,0,
3321,1265659,-4682744,-1473805,38.763,-295.0,72.0,-976.0,0,0,0,
3334,1265659,-4682766,-1473789,38.773,-291.0,70.0,-969.0,0,0,0,
3349,1265659,-4682653,-1473812,38.788,-291.0,70.0,-969.0,0,0,0,
3350,1265659,-4682713,-1473835,38.76,-291.0,70.0,-969.0,0,0,0,
3366,1265659,-4682697,-1473777,38.776,-292.0,63.0,-975.0,0,0,0,
3366,1265659,-4682708,-1473798,38.784,-292.0,63.0,-975.0,0,0,0,
3366,1265659,-4682647,-1473760,38.762,-292.0,63.0,-975.0,0,0,0,
3366,1265659,-4682569,-1473800,38.775,-292.0,63.0,-975.0,0,0,0,
3366,1265659,-4682726,-1473680,38.778,-292.0,63.0,-975.0,0,0,0,
3380,1265659,-4682686,-1473769,38.776,-290.0,74.0,-981.0,0,0,0,
3381,1265659,-4682743,-1473788,38.784,-290.0,74.0,-981.0,0,0,0,
3381,1265659,-4682670,-1473776,38.763,-290.0,74.0,-981.0,0,0,0,
3381,1265659,-4682591,-1473852,38.762,-290.0,74.0,-981.0,0,0,0,
3394,1265659,-4682620,-1473823,38.798,-291.0,72.0,-979.0,0,0,0,
3394,1265659,-4682751,-1473805,38.775,-291.0,72.0,-979.0,0,0,0,
3394,1265659,-4682755,-1473743,38.772,-291.0,72.0,-979.0,0,0,0,
3405,1265659,-4682604,-1473818,38.782,-294.0,73.0,-976.0,0,0,0,
3405,1265659,-4682514,-1473790,38.781,-294.0,73.0,-976.0,0,0,0,
3417,1265659,-4682584,-1473818,38.777,-294.0,67.0,-978.0,0,0,0,
3417,1265659,-4682681,-1473763,38.783,-294.0,67.0,-978.0,0,0,0,
