Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
5,167823,110242,95276,0.012,148.0,521.0,829.0,0,0,0,
260,167823,110231,95270,0.417,148.0,521.0,829.0,0,0,0,
260,167823,110244,95284,0.932,148.0,521.0,829.0,0,0,0,
260,167823,110205,95269,0.534,148.0,521.0,829.0,0,0,0,
260,167823,110230,95262,0.012,148.0,521.0,829.0,0,0,0,
260,167823,110220,95268,0.432,148.0,521.0,829.0,0,0,0,
378,167823,110347,95383,0.029,143.0,516.0,830.0,0,0,0,
404,167823,110347,95383,0.029,148.0,519.0,828.0,0,0,0,
404,167823,110358,95372,0.576,148.0,519.0,828.0,0,0,0,
404,167823,110337,95376,0.925,148.0,519.0,828.0,0,0,0,
404,167823,110331,95371,0.4,148.0,519.0,828.0,0,0,0,
404,167823,110357,95374,0.027,148.0,519.0,828.0,0,0,0,
404,167823,110340,95378,0.57,148.0,519.0,828.0,0,0,0,
404,167823,110358,95379,0.941,148.0,519.0,828.0,0,0,0,
404,167823,110325,95385,0.394,148.0,519.0,828.0,0,0,0,
404,167823,110325,95382,0.028,148.0,519.0,828.0,0,0,0,
405,167823,110332,95376,0.582,148.0,519.0,828.0,0,0,0,
405,167823,110320,95379,0.927,148.0,519.0,828.0,0,0,0,
442,167823,110331,95376,0.391,136.0,521.0,829.0,0,0,0,
442,167823,110355,95387,0.037,136.0,521.0,829.0,0,0,0,
442,167823,110341,95374,0.589,136.0,521.0,829.0,0,0,0,
442,167823,110354,95378,0.948,136.0,521.0,829.0,0,0,0,
442,167823,110362,95381,0.389,136.0,521.0,829.0,0,0,0,
442,167823,110354,95376,0.033,136.0,521.0,829.0,0,0,0,
442,167823,110318,95382,0.598,136.0,521.0,829.0,0,0,0,
442,167823,110374,95390,0.931,136.0,521.0,829.0,0,0,0,
459,167823,110335,95371,0.379,145.0,517.0,825.0,0,0,0,
459,167823,110318,95387,0.033,145.0,517.0,825.0,0,0,0,
459,167823,110336,95377,0.59,145.0,517.0,825.0,0,0,0,
460,167823,110347,95377,0.913,145.0,517.0,825.0,0,0,0,
460,167823,110356,95374,0.361,145.0,517.0,825.0,0,0,0,
477,167823,110329,95375,0.021,140.0,518.0,827.0,0,0,0,
478,167823,110333,95380,0.604,140.0,518.0,827.0,0,0,0,
478,167823,110345,95368,0.936,140.0,518.0,827.0,0,0,0,
478,167823,110354,95380,0.372,140.0,518.0,827.0,0,0,0,
491,167823,110329,95387,0.052,143.0,516.0,828.0,0,0,0,
510,167823,110335,95379,0.605,143.0,516.0,828.0,0,0,0,
510,167823,110325,95377,0.917,143.0,516.0,828.0,0,0,0,
529,167823,110344,95362,0.369,147.0,520.0,830.0,0,0,0,
529,167823,110372,95385,0.035,147.0,520.0,830.0,0,0,0,
529,167823,110351,95378,0.611,147.0,520.0,830.0,0,0,0,
529,167823,110349,95378,0.934,147.0,520.0,830.0,0,0,0,
529,167823,110377,95376,0.361,147.0,520.0,830.0,0,0,0,
529,167823,110355,95381,0.043,147.0,520.0,830.0,0,0,0,
544,167823,110324,95380,0.617,138.0,517.0,833.0,0,0,0,
544,167823,110341,95384,0.925,138.0,517.0,833.0,0,0,0,
545,167823,110337,95381,0.352,138.0,517.0,833.0,0,0,0,
545,167823,110325,95373,0.042,138.0,517.0,833.0,0,0,0,
558,167823,110342,95388,0.63,141.0,519.0,831.0,0,0,0,
558,167823,110357,95385,0.933,141.0,519.0,831.0,0,0,0,
559,167823,110364,95379,0.348,141.0,519.0,831.0,0,0,0,
572,167823,110324,95380,0.042,140.0,516.0,824.0,0,0,0,
572,167823,110334,95369,0.628,140.0,516.0,824.0,0,0,0,
572,167823,110330,95387,0.922,140.0,516.0,824.0,0,0,0,
612,167823,110361,95384,0.355,141.0,522.0,826.0,0,0,0,
612,167823,110356,95384,0.048,141.0,522.0,826.0,0,0,0,
613,167823,110352,95380,0.621,141.0,522.0,826.0,0,0,0,
613,167823,110358,95374,0.92,141.0,522.0,826.0,0,0,0,
613,167823,110346,95383,0.343,141.0,522.0,826.0,0,0,0,
613,167823,110305,95375,0.037,141.0,522.0,826.0,0,0,0,
613,167823,110356,95395,0.63,141.0,522.0,826.0,0,0,0,
628,167823,110358,95398,0.922,140.0,521.0,822.0,0,0,0,
628,167823,110337,95393,0.331,140.0,521.0,822.0,0,0,0,
628,167823,110333,95387,0.034,140.0,521.0,822.0,0,0,0,
628,167823,110339,95368,0.645,140.0,521.0,822.0,0,0,0,
642,167823,110347,95396,0.925,134.0,516.0,834.0,0,0,0,
642,167823,110358,95380,0.333,134.0,516.0,834.0,0,0,0,
642,167823,110339,95389,0.043,134.0,516.0,834.0,0,0,0,
656,167823,110360,95370,0.649,150.0,522.0,829.0,0,0,0,
656,167823,110350,95389,0.917,150.0,522.0,829.0,0,0,0,
656,167823,110350,95377,0.323,150.0,522.0,829.0,0,0,0,
668,167823,110347,95397,0.04,142.0,522.0,834.0,0,0,0,
680,167823,110369,95385,0.647,142.0,522.0,834.0,0,0,0,
697,167823,110379,95385,0.932,145.0,517.0,822.0,0,0,0,
697,167823,110343,95387,0.334,145.0,517.0,822.0,0,0,0,
697,167823,110370,95390,0.053,145.0,517.0,822.0,0,0,0,
697,167823,110395,95397,0.661,145.0,517.0,822.0,0,0,0,
697,167823,110362,95390,0.918,145.0,517.0,822.0,0,0,0,
712,167823,110350,95387,0.318,148.0,519.0,822.0,0,0,0,
713,167823,110369,95383,0.046,148.0,519.0,822.0,0,0,0,
713,167823,110328,95381,0.643,148.0,519.0,822.0,0,0,0,
713,167823,110334,95387,0.904,148.0,519.0,822.0,0,0,0,
728,167823,110362,95400,0.319,142.0,521.0,822.0,0,0,0,
728,167823,110360,95391,0.052,142.0,521.0,822.0,0,0,0,
729,167823,110407,95392,0.65,142.0,521.0,822.0,0,0,0,
742,167823,110355,95394,0.908,142.0,519.0,827.0,0,0,0,
742,167823,110364,95400,0.316,142.0,519.0,827.0,0,0,0,
742,167823,110358,95388,0.047,142.0,519.0,827.0,0,0,0,
756,167823,110359,95403,0.652,138.0,516.0,830.0,0,0,0,
756,167823,110365,95401,0.905,138.0,516.0,830.0,0,0,0,
770,167823,110349,95385,0.305,138.0,516.0,830.0,0,0,0,
787,167823,110343,95365,0.054,143.0,518.0,831.0,0,0,0,
787,167823,110359,95397,0.656,143.0,518.0,831.0,0,0,0,
787,167823,110355,95389,0.888,143.0,518.0,831.0,0,0,0,
787,167823,110354,95392,0.315,143.0,518.0,831.0,0,0,0,
788,167823,110350,95383,0.072,143.0,518.0,831.0,0,0,0,
803,167823,110368,95389,0.672,145.0,520.0,840.0,0,0,0,
803,167823,110341,95383,0.903,145.0,520.0,840.0,0,0,0,
803,167823,110339,95396,0.293,145.0,520.0,840.0,0,0,0,
803,167823,110353,95374,0.038,145.0,520.0,840.0,0,0,0,
816,167823,110376,95401,0.673,139.0,519.0,828.0,0,0,0,
816,167823,110352,95385,0.901,139.0,519.0,828.0,0,0,0,
817,167823,110357,95389,0.317,139.0,519.0,828.0,0,0,0,
829,167823,110358,95392,0.069,136.0,518.0,834.0,0,0,0,
829,167823,110374,95391,0.675,136.0,518.0,834.0,0,0,0,
842,167823,110337,95384,0.891,144.0,516.0,830.0,0,0,0,
842,167823,110368,95386,0.308,144.0,516.0,830.0,0,0,0,
843,167823,110360,95397,0.078,144.0,516.0,830.0,0,0,0,
882,167823,110355,95407,0.689,140.0,517.0,830.0,0,0,0,
882,167823,110370,95386,0.899,140.0,517.0,830.0,0,0,0,
882,167823,110407,95375,0.284,140.0,517.0,830.0,0,0,0,
883,167823,110297,95387,0.066,140.0,517.0,830.0,0,0,0,
883,167823,110354,95394,0.688,140.0,517.0,830.0,0,0,0,
883,167823,110334,95394,0.899,140.0,517.0,830.0,0,0,0,
883,167823,110365,95394,0.288,140.0,517.0,830.0,0,0,0,
898,167823,110359,95384,0.07,142.0,515.0,833.0,0,0,0,
899,167823,110363,95396,0.685,142.0,515.0,833.0,0,0,0,
899,167823,110369,95397,0.893,142.0,515.0,833.0,0,0,0,
899,167823,110349,95391,0.294,142.0,515.0,833.0,0,0,0,
912,167823,110362,95396,0.076,147.0,515.0,827.0,0,0,0,
912,167823,110376,95378,0.684,147.0,515.0,827.0,0,0,0,
912,167823,110375,95388,0.88,147.0,515.0,827.0,0,0,0,
926,167823,110371,95391,0.28,144.0,516.0,828.0,0,0,0,
926,167823,110363,95397,0.07,144.0,516.0,828.0,0,0,0,
926,167823,110351,95398,0.7,144.0,516.0,828.0,0,0,0,
938,167823,110353,95395,0.902,140.0,517.0,830.0,0,0,0,
950,167823,110380,95391,0.269,140.0,517.0,830.0,0,0,0,
967,167823,110365,95393,0.055,141.0,520.0,831.0,0,0,0,
967,167823,110352,95393,0.703,141.0,520.0,831.0,0,0,0,
967,167823,110361,95389,0.878,141.0,520.0,831.0,0,0,0,
968,167823,110375,95393,0.265,141.0,520.0,831.0,0,0,0,
968,167823,110316,95379,0.08,141.0,520.0,831.0,0,0,0,
983,167823,110378,95403,0.705,146.0,520.0,824.0,0,0,0,
983,167823,110377,95394,0.879,146.0,520.0,824.0,0,0,0,
983,167823,110392,95394,0.269,146.0,520.0,824.0,0,0,0,
984,167823,110370,95398,0.086,146.0,520.0,824.0,0,0,0,
999,167823,110360,95394,0.715,144.0,518.0,828.0,0,0,0,
999,167823,110357,95398,0.88,144.0,518.0,828.0,0,0,168,
999,167823,110375,95406,0.251,144.0,518.0,828.0,0,0,0,
1013,167823,110367,95395,0.089,145.0,515.0,836.0,0,0,0,
1013,167823,110356,95398,0.715,145.0,515.0,836.0,0,0,0,
1013,167823,110391,95393,0.877,145.0,515.0,836.0,0,0,0,
1027,167823,110328,95391,0.262,137.0,519.0,844.0,0,0,0,
1027,167823,110368,95383,0.092,137.0,519.0,844.0,0,0,0,
1040,167823,110368,95399,0.712,137.0,519.0,844.0,0,0,0,
1057,167823,110381,95393,0.878,141.0,522.0,829.0,0,0,0,
1057,167823,110361,95399,0.262,141.0,522.0,829.0,0,0,0,
1057,167823,110374,95406,0.084,141.0,522.0,829.0,0,0,0,
1057,167823,110377,95392,0.719,141.0,522.0,829.0,0,0,0,
1058,167823,110358,95399,0.875,141.0,522.0,829.0,0,0,0,
1073,167823,110382,95403,0.255,135.0,518.0,826.0,0,0,0,
1073,167823,110361,95392,0.1,135.0,518.0,826.0,0,0,0,
1073,167823,110387,95403,0.731,135.0,518.0,826.0,0,0,0,
1073,167823,110372,95395,0.884,135.0,518.0,826.0,0,0,0,
1086,167823,110400,95401,0.252,142.0,520.0,821.0,0,0,0,
1087,167823,110372,95420,0.089,142.0,520.0,821.0,0,0,0,
1087,167823,110363,95392,0.718,142.0,520.0,821.0,0,0,0,
1099,167823,110362,95393,0.877,143.0,518.0,831.0,0,0,0,
1099,167823,110380,95393,0.241,143.0,518.0,831.0,0,0,0,
1112,167823,110348,95398,0.077,146.0,516.0,825.0,0,0,0,
1112,167823,110362,95402,0.731,146.0,516.0,825.0,0,0,0,
1113,167823,110368,95399,0.855,146.0,516.0,825.0,0,0,0,
1153,167823,110383,95399,0.239,140.0,514.0,824.0,0,0,0,
1153,167823,110382,95396,0.104,140.0,514.0,824.0,0,0,0,
1153,167823,110358,95399,0.731,140.0,514.0,824.0,0,0,0,
1153,167823,110391,95395,0.871,140.0,514.0,824.0,0,0,0,
