Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
50123,261767,205606,154354,1.529,-552.0,1154.0,702.0,0,0,0,
50123,261767,205672,154405,1.276,-552.0,1154.0,702.0,0,0,0,
50123,261767,205641,154396,1.145,-552.0,1154.0,702.0,0,0,0,
50135,261767,205636,154418,1.382,-567.0,1153.0,682.0,0,0,0,
50135,261767,205695,154445,1.504,-567.0,1153.0,682.0,0,0,0,
50135,261767,205713,154460,1.271,-567.0,1153.0,682.0,0,0,0,
50158,261767,205721,154472,1.174,-575.0,1157.0,705.0,0,0,0,
50158,261767,205737,154469,1.356,-575.0,1157.0,705.0,0,0,0,
50158,261767,205789,154485,1.469,-575.0,1157.0,705.0,0,0,0,
50158,261767,205772,154512,1.282,-575.0,1157.0,705.0,0,0,0,
50170,261767,205799,154521,1.172,-571.0,1155.0,711.0,0,0,0,
50170,261767,205857,154522,1.366,-571.0,1155.0,711.0,0,0,0,
50170,261767,205892,154533,1.473,-571.0,1155.0,711.0,0,0,0,
50188,261767,205883,154549,1.291,-564.0,1157.0,704.0,0,0,0,
50188,261767,205924,154595,1.184,-564.0,1157.0,704.0,0,0,0,
50188,261767,205949,154611,1.348,-564.0,1157.0,704.0,0,0,0,
50200,261767,205976,154626,1.48,-557.0,1155.0,699.0,0,0,0,
50200,261767,205970,154630,1.294,-557.0,1155.0,699.0,0,0,0,
50200,261767,206043,154642,1.188,-557.0,1155.0,699.0,0,0,0,
50218,261767,206013,154681,1.376,-547.0,1154.0,701.0,0,0,0,
50219,261767,206086,154699,1.475,-547.0,1154.0,701.0,0,0,0,
50219,261767,206117,154721,1.309,-547.0,1154.0,701.0,0,0,0,
50231,261767,206100,154728,1.217,-549.0,1154.0,710.0,0,0,0,
50231,261767,206142,154767,1.375,-549.0,1154.0,710.0,0,0,0,
50231,261767,206151,154764,1.485,-549.0,1154.0,710.0,0,0,0,
50249,261767,206198,154764,1.299,-559.0,1153.0,707.0,0,0,0,
50249,261767,206228,154802,1.198,-559.0,1153.0,707.0,0,0,0,
50249,261767,206245,154858,1.366,-559.0,1153.0,707.0,0,0,0,
50261,261767,206298,154842,1.483,-555.0,1155.0,706.0,0,0,0,
50261,261767,206330,154855,1.303,-555.0,1155.0,706.0,0,0,0,
50261,261767,206363,154877,1.187,-555.0,1155.0,706.0,0,0,0,
50283,261767,206373,154892,1.374,-565.0,1156.0,707.0,0,0,0,
50283,261767,206411,154910,1.502,-565.0,1156.0,707.0,0,0,0,
50283,261767,206425,154923,1.306,-565.0,1156.0,707.0,0,0,0,
50283,261767,206482,154933,1.207,-565.0,1156.0,707.0,0,0,0,
50296,261767,206490,154975,1.376,-572.0,1157.0,702.0,0,0,0,
50296,261767,206520,154991,1.491,-572.0,1157.0,702.0,0,0,0,
50296,261767,206561,154981,1.317,-572.0,1157.0,702.0,0,0,0,
50316,261767,206605,155034,1.202,-569.0,1159.0,695.0,0,0,0,
50316,261767,206608,155102,1.371,-569.0,1159.0,695.0,0,0,0,
50316,261767,206677,155101,1.486,-569.0,1159.0,695.0,0,0,0,
50316,261767,206652,155104,1.308,-569.0,1159.0,695.0,0,0,0,
50328,261767,206731,155109,1.196,-570.0,1161.0,696.0,0,0,0,
50328,261767,206774,155144,1.37,-570.0,1161.0,696.0,0,0,0,
50348,261767,206743,155152,1.484,-573.0,1163.0,700.0,0,0,0,
