Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
258,255065,217673,156864,1.251,-177.0,262.0,960.0,0,0,0,
258,255065,217633,156852,1.335,-177.0,262.0,960.0,0,0,0,
276,255065,217662,156893,1.464,-178.0,257.0,952.0,0,0,0,
276,255065,217687,156851,1.36,-178.0,257.0,952.0,0,0,0,
276,255065,217628,156828,1.226,-178.0,257.0,952.0,0,0,0,
288,255065,217682,156864,1.363,-171.0,260.0,962.0,0,0,0,
288,255065,217652,156869,1.465,-171.0,260.0,962.0,0,0,0,
289,255065,217641,156854,1.35,-171.0,260.0,962.0,0,0,0,
308,255065,217627,156867,1.244,-170.0,263.0,964.0,0,0,0,
308,255065,217621,156862,1.344,-170.0,263.0,964.0,0,0,0,
308,255065,217667,156876,1.458,-170.0,263.0,964.0,0,0,0,
308,255065,217613,156853,1.355,-170.0,263.0,964.0,0,0,0,
319,255065,217667,156855,1.234,-167.0,261.0,961.0,0,0,0,
319,255065,217663,156849,1.36,-167.0,261.0,961.0,0,0,0,
341,255065,217607,156845,1.459,-169.0,257.0,952.0,0,0,0,
341,255065,217601,156847,1.361,-169.0,257.0,952.0,0,0,0,
341,255065,217632,156838,1.248,-169.0,257.0,952.0,0,0,0,
341,255065,217615,156838,1.359,-169.0,257.0,952.0,0,0,0,
354,255065,217598,156857,1.483,-170.0,258.0,960.0,0,0,0,
354,255065,217628,156827,1.354,-170.0,258.0,960.0,0,0,0,
354,255065,217612,156842,1.236,-170.0,258.0,960.0,0,0,0,
374,255065,217627,156831,1.362,-166.0,259.0,964.0,0,0,0,
374,255065,217582,156855,1.463,-166.0,259.0,964.0,0,0,0,
374,255065,217609,156856,1.361,-166.0,259.0,964.0,0,0,0,
374,255065,217595,156846,1.253,-166.0,259.0,964.0,0,0,0,
384,255065,217615,156829,1.349,-168.0,258.0,957.0,0,0,0,
385,255065,217630,156852,1.477,-168.0,258.0,957.0,0,0,0,
404,255065,217629,156848,1.357,-172.0,261.0,959.0,0,0,0,
404,255065,217623,156857,1.252,-172.0,261.0,959.0,0,0,0,
404,255065,217597,156837,1.356,-172.0,261.0,959.0,0,0,0,
404,255065,217609,156825,1.464,-172.0,261.0,959.0,0,0,0,
417,255065,217597,156835,1.368,-167.0,262.0,964.0,0,0,0,
417,255065,217597,156838,1.235,-167.0,262.0,964.0,0,0,0,
417,255065,217611,156854,1.34,-167.0,262.0,964.0,0,0,0,
435,255065,217583,156835,1.483,-172.0,257.0,960.0,0,0,0,
435,255065,217648,156854,1.349,-172.0,257.0,960.0,0,0,0,
435,255065,217630,156847,1.243,-172.0,257.0,960.0,0,0,0,
447,255065,217599,156839,1.362,-172.0,256.0,953.0,0,0,0,
448,255065,217627,156836,1.456,-172.0,256.0,953.0,0,0,0,
448,255065,217574,156843,1.352,-172.0,256.0,953.0,0,0,0,
466,255065,217607,156862,1.225,-174.0,259.0,955.0,0,0,0,
466,255065,217616,156852,1.347,-174.0,259.0,955.0,0,0,0,
466,255065,217603,156826,1.47,-174.0,259.0,955.0,0,0,0,
489,255065,217610,156861,1.362,-174.0,261.0,959.0,0,0,0,
490,255065,217611,156832,1.248,-174.0,261.0,959.0,0,0,0,
490,255065,217603,156852,1.346,-174.0,261.0,959.0,0,0,0,
490,255065,217610,156860,1.463,-174.0,261.0,959.0,0,0,0,
490,255065,217607,156824,1.331,-174.0,261.0,959.0,0,0,0,
509,255065,217631,156852,1.166,-190.0,261.0,956.0,0,0,0,
509,255065,217610,156852,1.342,-190.0,261.0,956.0,0,0,0,
509,255065,217609,156853,1.454,-190.0,261.0,956.0,0,0,0,
509,255065,217601,156850,1.35,-190.0,261.0,956.0,0,0,0,
522,255065,217612,156847,1.254,-160.0,260.0,966.0,0,0,0,
522,255065,217614,156849,1.345,-160.0,260.0,966.0,0,0,0,
522,255065,217585,156845,1.452,-160.0,260.0,966.0,0,0,0,
540,255065,217595,156853,1.366,-175.0,261.0,962.0,0,0,0,
540,255065,217565,156838,1.233,-175.0,261.0,962.0,0,0,0,
540,255065,217560,156831,1.339,-175.0,261.0,962.0,0,0,0,
553,255065,217564,156839,1.461,-164.0,259.0,958.0,0,0,0,
553,255065,217556,156850,1.351,-164.0,259.0,958.0,0,0,0,
553,255065,217546,156837,1.236,-164.0,259.0,958.0,0,0,0,
571,255065,217584,156841,1.342,-165.0,256.0,958.0,0,0,0,
571,255065,217549,156842,1.473,-165.0,256.0,958.0,0,0,0,
571,255065,217592,156861,1.359,-165.0,256.0,958.0,0,0,0,
583,255065,217574,156849,1.241,-166.0,261.0,955.0,0,0,0,
583,255065,217582,156863,1.36,-166.0,261.0,955.0,0,0,0,
583,255065,217584,156842,1.465,-166.0,261.0,955.0,0,0,0,
