Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
10,217269,201621,132606,1.339,-192.0,-12.0,999.0,0,0,0,
265,217284,201593,132626,1.333,-192.0,-12.0,999.0,0,0,0,
265,217281,201596,132597,1.34,-192.0,-12.0,999.0,0,0,0,
265,217278,201580,132630,1.346,-192.0,-12.0,999.0,0,0,0,
266,217259,201478,132623,1.332,-192.0,-12.0,999.0,0,0,0,
266,217272,201524,132652,1.337,-192.0,-12.0,999.0,0,0,0,
266,217304,201563,132631,1.346,-192.0,-12.0,999.0,0,0,0,
266,217012,201665,132741,1.343,-192.0,-12.0,999.0,0,0,0,
266,216789,201661,132682,1.334,-192.0,-12.0,999.0,0,0,0,
381,217494,201667,132717,1.34,-192.0,-15.0,990.0,0,0,0,
406,217494,201667,132717,1.34,-190.0,-9.0,993.0,0,0,0,
406,217593,201708,132822,1.315,-190.0,-9.0,993.0,0,0,0,
406,217742,201687,132754,1.321,-190.0,-9.0,993.0,0,0,0,
406,217824,201526,132671,1.308,-190.0,-9.0,993.0,0,0,0,
406,217813,201726,132725,1.294,-190.0,-9.0,993.0,0,0,0,
406,217559,201667,132624,1.29,-190.0,-9.0,993.0,0,0,0,
406,217229,201588,132659,1.295,-190.0,-9.0,993.0,0,0,0,
407,217254,201540,132855,1.296,-190.0,-9.0,993.0,0,0,0,
426,217332,201649,132777,1.281,-190.0,-9.0,993.0,0,0,0,
426,217463,201666,132696,1.281,-190.0,-9.0,993.0,0,0,0,
426,217938,201679,132789,1.29,-190.0,-9.0,993.0,0,0,0,
448,217796,201611,132656,1.29,-189.0,-12.0,1003.0,0,0,0,
449,217505,201665,132642,1.278,-189.0,-12.0,1003.0,0,0,0,
449,217550,201588,132790,1.277,-189.0,-12.0,1003.0,0,0,0,
449,217164,201588,132615,1.294,-189.0,-12.0,1003.0,0,0,0,
