Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
17664,131530,206809,166493,0.493,-11.0,100.0,1008.0,0,0,0,
17664,131727,206692,166555,0.506,-11.0,100.0,1008.0,0,0,0,
17680,131788,206692,166418,0.52,-11.0,100.0,1008.0,0,0,0,
17699,131552,206742,166597,0.521,-13.0,101.0,1015.0,0,0,0,
17699,131687,206723,166448,0.501,-13.0,101.0,1015.0,0,0,0,
17699,132026,206897,166608,0.501,-13.0,101.0,1015.0,0,0,0,
17699,132088,206620,166424,0.523,-13.0,101.0,1015.0,0,0,0,
17699,131833,206735,166556,0.524,-13.0,101.0,1015.0,0,0,0,
17699,131767,206656,166465,0.515,-13.0,101.0,1015.0,0,0,0,
17720,131739,206714,166614,0.499,-10.0,100.0,1017.0,0,0,0,
17720,131800,206682,166489,0.504,-10.0,100.0,1017.0,0,0,0,
17721,131808,206605,166533,0.518,-10.0,100.0,1017.0,0,0,0,
17721,131908,206717,166492,0.499,-10.0,100.0,1017.0,0,0,0,
17721,131713,206656,166358,0.49,-10.0,100.0,1017.0,0,0,0,
17735,131567,206704,166573,0.492,-13.0,102.0,1019.0,0,0,0,
17735,131387,206571,166478,0.494,-13.0,102.0,1019.0,0,0,0,
17735,131118,206672,166434,0.473,-13.0,102.0,1019.0,0,0,0,
17748,131407,206612,166493,0.464,-12.0,101.0,1010.0,0,0,0,
17749,131598,206734,166435,0.485,-12.0,101.0,1010.0,0,0,0,
17749,131438,206733,166508,0.475,-12.0,101.0,1010.0,0,0,0,
17790,131384,206771,166494,0.473,-8.0,94.0,1011.0,0,0,0,
17790,131514,206754,166578,0.479,-8.0,94.0,1011.0,0,0,0,
17790,131445,206719,166656,0.475,-8.0,94.0,1011.0,0,0,0,
17790,131524,206691,166389,0.47,-8.0,94.0,1011.0,0,0,0,
17790,131542,206912,166451,0.468,-8.0,94.0,1011.0,0,0,0,
17791,131544,206817,166395,0.471,-8.0,94.0,1011.0,0,0,0,
17791,131569,206802,166366,0.474,-8.0,94.0,1011.0,0,0,0,
17806,131541,206826,166751,0.481,-9.0,100.0,1012.0,0,0,0,
17806,131573,206806,166541,0.462,-9.0,100.0,1012.0,0,0,0,
17806,131854,206999,166623,0.459,-9.0,100.0,1012.0,0,0,0,
17806,132066,207009,166797,0.478,-9.0,100.0,1012.0,0,0,0,
17819,132087,206741,166499,0.481,-7.0,101.0,1015.0,0,0,0,
17820,131761,206826,166569,0.466,-7.0,101.0,1015.0,0,0,0,
17820,131444,206819,166591,0.46,-7.0,101.0,1015.0,0,0,0,
17836,131524,206755,166577,0.478,-7.0,102.0,1010.0,0,0,0,
17837,131687,206791,166544,0.483,-7.0,102.0,1010.0,0,0,0,
17837,131632,206947,166609,0.463,-7.0,102.0,1010.0,0,0,0,
17850,131723,206848,166621,0.473,-4.0,99.0,1014.0,0,0,0,
17870,131686,206736,166688,0.482,-4.0,99.0,1014.0,0,0,0,
17871,131746,206841,166774,0.477,-4.0,99.0,1014.0,0,0,0,
17891,131700,206803,166467,0.458,-9.0,98.0,1013.0,0,0,0,
17891,131619,206799,166464,0.455,-9.0,98.0,1013.0,0,0,0,
17891,131576,206834,166799,0.465,-9.0,98.0,1013.0,0,35,0,
17891,131532,206924,166583,0.466,-9.0,98.0,1013.0,0,0,0,
17891,131575,206762,166715,0.45,-9.0,98.0,1013.0,0,0,0,
17891,131589,206891,166644,0.445,-9.0,98.0,1013.0,0,0,0,
17891,131603,206757,166566,0.455,-9.0,98.0,1013.0,0,0,0,
17906,131585,206882,166635,0.452,-9.0,97.0,1014.0,0,0,0,
17906,131515,206772,166738,0.443,-9.0,97.0,1014.0,0,0,0,
17907,131423,206844,166632,0.44,-9.0,97.0,1014.0,0,0,0,
17907,131477,206840,166469,0.454,-9.0,97.0,1014.0,0,0,0,
17920,131423,206732,166714,0.455,-11.0,98.0,1013.0,0,0,0,
17920,131477,206745,166643,0.444,-11.0,98.0,1013.0,0,0,0,
17920,131553,206747,166458,0.425,-11.0,98.0,1013.0,0,0,0,
17934,131611,206796,166562,0.451,-8.0,97.0,1014.0,0,0,0,
17934,131531,206718,166610,0.465,-8.0,97.0,1014.0,0,0,0,
17950,131596,206738,166637,0.439,-8.0,97.0,1014.0,0,0,0,
17969,131652,206690,166538,0.443,-8.0,101.0,1019.0,0,0,0,
17969,131580,206727,166626,0.45,-8.0,101.0,1019.0,0,0,0,
17969,131795,206826,166495,0.448,-8.0,101.0,1019.0,0,0,0,
