Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
1850,2722824,3815348,-192697,17.55,-194.0,-1021.0,-1004.0,0,0,0,
1850,2722824,3815391,-192719,17.519,-194.0,-1021.0,-1004.0,0,0,0,
1850,2722824,3815344,-192685,17.731,-194.0,-1021.0,-1004.0,0,0,0,
1866,2722824,3815389,-192693,17.756,-192.0,-1021.0,-1005.0,0,0,0,
1866,2722824,3815408,-192701,17.55,-192.0,-1021.0,-1005.0,0,0,0,
1866,2722824,3815383,-192696,17.524,-192.0,-1021.0,-1005.0,0,0,0,
1880,2722824,3815374,-192681,17.739,-194.0,-1018.0,-992.0,0,0,0,
1880,2722824,3815415,-192703,17.745,-194.0,-1018.0,-992.0,0,0,0,
1880,2722824,3815405,-192686,17.547,-194.0,-1018.0,-992.0,0,0,0,
1893,2722824,3815380,-192694,17.529,-198.0,-1020.0,-1003.0,0,0,0,
1893,2722824,3815379,-192681,17.735,-198.0,-1020.0,-1003.0,0,0,0,
1893,2722824,3815351,-192710,17.744,-198.0,-1020.0,-1003.0,0,0,0,
1924,2722824,3815396,-192710,17.56,-200.0,-1018.0,-1005.0,0,0,0,
1924,2722824,3815439,-192706,17.527,-200.0,-1018.0,-1005.0,0,0,0,
1924,2722824,3815450,-192696,17.73,-200.0,-1018.0,-1005.0,0,0,0,
1924,2722824,3815387,-192688,17.75,-200.0,-1018.0,-1005.0,0,0,0,
1924,2722824,3815376,-192694,17.557,-200.0,-1018.0,-1005.0,0,0,0,
1939,2722824,3815382,-192682,17.525,-197.0,-1019.0,-1012.0,0,0,0,
1940,2722824,3815404,-192687,17.732,-197.0,-1019.0,-1012.0,0,0,0,
1940,2722824,3815395,-192678,17.743,-197.0,-1019.0,-1012.0,0,0,0,
1940,2722824,3815394,-192692,17.561,-197.0,-1019.0,-1012.0,0,0,0,
1953,2722824,3815400,-192673,17.531,-202.0,-1020.0,-997.0,0,0,0,
1953,2722824,3815410,-192679,17.73,-202.0,-1020.0,-997.0,0,0,0,
1953,2722824,3815370,-192703,17.745,-202.0,-1020.0,-997.0,0,0,0,
1965,2722824,3815393,-192687,17.559,-201.0,-1018.0,-1002.0,0,0,0,
1966,2722824,3815394,-192690,17.522,-201.0,-1018.0,-1002.0,0,0,0,
1979,2722824,3815412,-192681,17.729,-200.0,-1024.0,-988.0,0,0,0,
1979,2722824,3815382,-192686,17.755,-200.0,-1024.0,-988.0,0,0,0,
1979,2722824,3815388,-192690,17.555,-200.0,-1024.0,-988.0,0,0,0,
1991,2722824,3815389,-192673,17.528,-196.0,-1017.0,-998.0,0,0,0,
2007,2722824,3815325,-192672,17.729,-196.0,-1017.0,-998.0,0,0,0,
2027,2722824,3815481,-192654,17.749,-194.0,-1019.0,-1005.0,0,0,0,
2027,2722824,3815396,-192694,17.568,-194.0,-1019.0,-1005.0,0,0,0,
2028,2722824,3815448,-192676,17.528,-194.0,-1019.0,-1005.0,0,0,0,
2028,2722824,3815367,-192652,17.733,-194.0,-1019.0,-1005.0,0,0,0,
2028,2722824,3815442,-192710,17.753,-194.0,-1019.0,-1005.0,0,0,0,
2028,2722824,3815368,-192675,17.556,-194.0,-1019.0,-1005.0,0,0,0,
2043,2722824,3815399,-192700,17.524,-193.0,-1016.0,-1002.0,0,0,0,
2043,2722824,3815387,-192660,17.726,-193.0,-1016.0,-1002.0,0,0,0,
2043,2722824,3815415,-192678,17.742,-193.0,-1016.0,-1002.0,0,0,0,
2043,2722824,3815397,-192673,17.565,-193.0,-1016.0,-1002.0,0,0,0,
2057,2722824,3815400,-192674,17.533,-191.0,-1021.0,-1009.0,0,0,0,
2057,2722824,3815411,-192690,17.729,-191.0,-1021.0,-1009.0,0,0,0,
