Time (ms),ETI,IR (counts),Red (counts),ECG (uv),Ax (mg),Ay (mg),Az (mg),IR peak,Red peak,ECG peak,SPO2
16853,7995594,-830787,-3509610,17.094,117.0,-1075.0,-923.0,0,0,0,
16853,7995839,-830829,-3509737,17.094,117.0,-1075.0,-923.0,0,0,0,
16854,7996417,-831003,-3509656,17.094,117.0,-1075.0,-923.0,0,0,0,
16854,7995963,-831043,-3509796,17.094,117.0,-1075.0,-923.0,0,0,0,
16854,7995537,-831366,-3510064,17.094,117.0,-1075.0,-923.0,0,0,0,
16854,7995242,-831529,-3510204,17.094,117.0,-1075.0,-923.0,0,0,0,
16868,7995232,-831857,-3510456,17.094,39.0,-1099.0,-926.0,0,0,0,
16868,7995849,-832075,-3510597,17.094,39.0,-1099.0,-926.0,0,0,0,
16869,7996740,-832268,-3510698,17.094,39.0,-1099.0,-926.0,0,0,0,
16869,7996714,-832599,-3510868,17.094,39.0,-1099.0,-926.0,0,0,0,
16884,7997389,-832724,-3511091,17.094,40.0,-1091.0,-940.0,0,0,0,
16884,7994636,-832689,-3511164,17.094,40.0,-1091.0,-940.0,0,0,0,
16884,7993635,-832821,-3511187,17.094,40.0,-1091.0,-940.0,0,0,0,
16897,7993359,-832781,-3511289,17.094,71.0,-1117.0,-922.0,0,0,0,
16897,7993331,-832981,-3511289,17.094,71.0,-1117.0,-922.0,0,0,0,
16897,7993599,-832824,-3511116,17.102,71.0,-1117.0,-922.0,0,0,0,
16933,7996009,-831889,-3510514,17.122,114.0,-1153.0,-946.0,0,0,0,
16933,8001272,-830488,-3509649,17.099,114.0,-1153.0,-946.0,0,0,0,
16933,8001634,-829729,-3509889,17.094,114.0,-1153.0,-946.0,0,0,0,
16933,8000510,-830516,-3511213,17.094,114.0,-1153.0,-946.0,0,0,0,
16934,8000037,-833581,-3514788,17.094,114.0,-1153.0,-946.0,0,0,0,
16934,8000936,-844862,-3527288,17.094,114.0,-1153.0,-946.0,0,0,0,
16948,8001995,-854937,-3538119,17.094,127.0,-1153.0,-936.0,0,0,0,
16948,8002201,-865441,-3550091,17.094,127.0,-1153.0,-936.0,0,0,0,
16948,8002967,-883102,-3566761,17.094,127.0,-1153.0,-936.0,0,0,0,
16948,8003913,-886195,-3572117,17.094,127.0,-1153.0,-936.0,0,0,0,
16959,8003470,-884616,-3571585,17.094,152.0,-1178.0,-907.0,0,0,0,
16959,8003335,-881745,-3569865,17.094,152.0,-1178.0,-907.0,0,0,0,
16971,8004250,-879509,-3569412,17.094,133.0,-1130.0,-943.0,0,0,0,
16971,8004203,-878236,-3569295,17.094,133.0,-1130.0,-943.0,0,0,0,
16972,8004319,-878000,-3568830,17.094,133.0,-1130.0,-943.0,0,0,0,
16982,8004363,-877718,-3567734,17.094,159.0,-1179.0,-909.0,0,0,0,
16982,8004723,-876884,-3566555,17.094,159.0,-1179.0,-909.0,0,0,0,
16993,8004762,-873484,-3566035,17.107,184.0,-1158.0,-925.0,0,0,0,
17005,8005569,-872909,-3565849,17.287,184.0,-1158.0,-925.0,0,0,0,
17021,8006285,-873088,-3565844,17.675,171.0,-1072.0,-959.0,0,0,0,
17021,8006187,-873075,-3565894,17.975,171.0,-1072.0,-959.0,0,0,0,
17021,8005692,-873147,-3565608,18.167,171.0,-1072.0,-959.0,0,0,0,
17021,8005720,-873194,-3565032,18.376,171.0,-1072.0,-959.0,0,0,0,
17022,8005912,-873025,-3563970,18.589,171.0,-1072.0,-959.0,0,0,0,
17037,8005906,-872464,-3562530,18.741,199.0,-1062.0,-990.0,0,0,0,
17037,8005871,-871666,-3560367,18.814,199.0,-1062.0,-990.0,0,0,0,
17038,8004991,-869726,-3557457,19.058,199.0,-1062.0,-990.0,0,0,0,
17038,7994717,-867934,-3553989,19.637,199.0,-1062.0,-990.0,0,0,0,
17049,7988321,-864938,-3550209,19.794,185.0,-1029.0,-973.0,0,0,0,
17049,7989962,-861863,-3546428,19.798,185.0,-1029.0,-973.0,0,0,0,
17062,7990787,-858806,-3542921,19.798,175.0,-996.0,-973.0,0,0,0,
17062,7992279,-855789,-3540109,19.798,175.0,-996.0,-973.0,0,0,0,
17062,7992931,-853681,-3537976,19.798,175.0,-996.0,-973.0,0,0,0,
17074,7992129,-851333,-3536222,19.798,169.0,-965.0,-966.0,0,0,0,
17074,7991804,-848837,-3534754,19.798,169.0,-965.0,-966.0,0,0,0,
17087,7991762,-846929,-3533536,19.798,161.0,-976.0,-987.0,0,0,0,
17105,7991853,-845010,-3532567,19.798,161.0,-976.0,-987.0,0,0,0,
17105,7991978,-843744,-3531592,19.798,161.0,-976.0,-987.0,0,0,0,
17123,7992973,-842282,-3531029,19.798,139.0,-972.0,-955.0,0,0,0,
17123,7992321,-841424,-3530298,19.798,139.0,-972.0,-955.0,0,0,0,
17124,7991505,-840318,-3529857,19.798,139.0,-972.0,-955.0,0,0,0,
17124,7994136,-839413,-3529463,19.75,139.0,-972.0,-955.0,0,0,0,
17124,8002423,-838584,-3529073,19.403,139.0,-972.0,-955.0,0,0,0,
17124,8004377,-838158,-3528803,19.186,139.0,-972.0,-955.0,0,0,0,
17138,8005756,-837803,-3528690,19.152,130.0,-1017.0,-935.0,0,0,0,102.0
17138,8005700,-837537,-3528701,19.065,130.0,-1017.0,-935.0,13,0,0,
17139,8004890,-837586,-3528657,18.898,130.0,-1017.0,-935.0,0,15,0,
17139,8005287,-837650,-3528867,18.824,130.0,-1017.0,-935.0,0,0,0,
17154,8005246,-837583,-3528913,18.736,88.0,-976.0,-925.0,0,0,0,
17154,8005074,-838029,-3528913,18.636,88.0,-976.0,-925.0,0,0,0,
17154,8005546,-837978,-3528927,18.538,88.0,-976.0,-925.0,0,0,0,
17167,8005464,-838139,-3529049,18.444,-22.0,-947.0,-919.0,0,0,0,
17167,8005444,-838339,-3529165,18.341,-22.0,-947.0,-919.0,0,0,0,
17167,8005949,-838174,-3529095,18.222,-22.0,-947.0,-919.0,0,0,0,
17203,8006088,-838147,-3529289,18.107,-66.0,-981.0,-898.0,0,0,0,
17203,8006113,-838572,-3529302,17.99,-66.0,-981.0,-898.0,0,0,0,
17203,8006048,-838682,-3529373,17.995,-66.0,-981.0,-898.0,0,0,0,
17203,8006406,-838618,-3529389,17.877,-66.0,-981.0,-898.0,0,0,0,
17203,8006394,-838602,-3529386,17.848,-66.0,-981.0,-898.0,0,0,0,
17203,8006713,-838484,-3529415,17.835,-66.0,-981.0,-898.0,0,0,0,
17216,8007262,-838333,-3529326,17.853,-128.0,-908.0,-905.0,0,0,0,
17216,8007334,-838499,-3529430,17.842,-128.0,-908.0,-905.0,0,0,0,
17217,8007150,-838270,-3529199,17.816,-128.0,-908.0,-905.0,0,0,0,
17229,8007268,-838359,-3529508,17.853,-69.0,-1005.0,-904.0,0,0,0,
17230,8007738,-838285,-3529350,17.907,-69.0,-1005.0,-904.0,0,0,0,
17230,8007702,-838250,-3529326,17.899,-69.0,-1005.0,-904.0,0,0,0,
17242,8007555,-838182,-3529340,17.91,-35.0,-1006.0,-904.0,0,0,0,
17243,8007622,-838060,-3529428,18.198,-35.0,-1006.0,-904.0,0,0,0,
17243,8006290,-837963,-3529237,19.199,-35.0,-1006.0,-904.0,0,0,0,
17254,8007741,-837902,-3529299,19.417,-14.0,-1005.0,-933.0,0,0,0,
17254,8008531,-837941,-3529397,18.954,-14.0,-1005.0,-933.0,0,0,0,
17267,8008667,-838010,-3529479,18.404,28.0,-941.0,-950.0,0,0,0,
17285,8008664,-838081,-3529491,18.304,28.0,-941.0,-950.0,0,0,0,
17285,8008814,-838054,-3529610,18.245,28.0,-941.0,-950.0,0,0,0,
17303,8008574,-838134,-3529680,18.272,18.0,-994.0,-954.0,0,0,0,
17303,8008721,-838355,-3529751,18.281,18.0,-994.0,-954.0,0,0,0,
17303,8009021,-838656,-3529929,18.195,18.0,-994.0,-954.0,0,0,0,
17303,8009083,-838811,-3530158,18.166,18.0,-994.0,-954.0,0,0,0,
17303,8009114,-839129,-3530121,18.091,18.0,-994.0,-954.0,0,0,0,
17303,8009394,-839346,-3530376,18.053,18.0,-994.0,-954.0,0,0,0,
17320,8009897,-839790,-3530547,18.017,58.0,-1064.0,-959.0,0,0,0,
17321,8010308,-839944,-3530691,17.912,58.0,-1064.0,-959.0,0,0,0,
17321,8009060,-840197,-3530874,17.987,58.0,-1064.0,-959.0,0,0,0,
17321,8005050,-840561,-3530963,18.879,58.0,-1064.0,-959.0,0,0,0,
17334,8009976,-840818,-3531227,18.229,57.0,-1078.0,-942.0,0,0,0,
17334,8010996,-840990,-3531245,17.84,57.0,-1078.0,-942.0,0,0,0,
17334,8010019,-841221,-3531437,18.08,57.0,-1078.0,-942.0,0,0,0,
17347,8004216,-841404,-3531700,18.634,53.0,-1072.0,-929.0,0,0,0,
17347,8007197,-841604,-3531586,18.181,53.0,-1072.0,-929.0,0,0,0,
17347,8010837,-841535,-3531662,17.728,53.0,-1072.0,-929.0,0,0,0,
17383,8011093,-841744,-3531981,17.707,72.0,-1034.0,-950.0,0,0,0,
17383,8010778,-841681,-3531914,17.734,72.0,-1034.0,-950.0,0,0,0,
17383,8006621,-841868,-3531964,18.635,72.0,-1034.0,-950.0,0,0,0,
17383,7998232,-841946,-3532090,19.349,72.0,-1034.0,-950.0,0,0,0,
17384,7993218,-841908,-3532171,19.713,72.0,-1034.0,-950.0,0,0,0,
17384,8005089,-842064,-3532188,19.059,72.0,-1034.0,-950.0,0,0,0,
17397,7999109,-842070,-3532201,19.267,57.0,-1011.0,-951.0,0,0,0,
17397,7991687,-842189,-3532266,19.79,57.0,-1011.0,-951.0,0,0,0,
17397,7991300,-842148,-3532362,19.798,57.0,-1011.0,-951.0,0,0,0,
17410,7991927,-842276,-3532338,19.778,51.0,-1039.0,-948.0,0,0,0,
17410,8002479,-842419,-3532620,19.244,51.0,-1039.0,-948.0,0,0,0,
17410,8011132,-842295,-3532586,18.497,51.0,-1039.0,-948.0,0,0,0,
17425,8011791,-842668,-3532678,18.268,58.0,-1049.0,-943.0,0,0,0,
17425,8011579,-842738,-3532797,18.17,58.0,-1049.0,-943.0,0,0,0,
17426,8011292,-842679,-3532718,18.083,58.0,-1049.0,-943.0,0,0,0,
